time	V(vout)	-I(Rl)
0.000000000000000e+000	1.027415e+000	1.037689e-010
3.919999926438323e-007	1.027415e+000	1.037689e-010
8.399999842367834e-007	1.027415e+000	1.037689e-010
1.735999967422686e-006	1.027415e+000	1.037689e-010
3.527999933794490e-006	1.027415e+000	1.037689e-010
7.111999866538100e-006	1.027415e+000	1.037689e-010
1.394793736653810e-005	1.027415e+000	1.037689e-010
2.078387486653810e-005	1.027415e+000	1.037689e-010
2.761981236653810e-005	1.027415e+000	1.037689e-010
4.129168736653810e-005	1.027415e+000	1.037689e-010
4.812762486653810e-005	1.027415e+000	1.037689e-010
5.496356236653810e-005	1.027415e+000	1.037689e-010
6.179949986653810e-005	1.027415e+000	1.037689e-010
6.863543736653810e-005	1.027415e+000	1.037689e-010
7.547137486653810e-005	1.027415e+000	1.037689e-010
8.230731236653810e-005	1.027415e+000	1.037689e-010
8.914324986653810e-005	1.027415e+000	1.037689e-010
9.597918736653809e-005	1.027415e+000	1.037689e-010
1.028151248665381e-004	1.027415e+000	1.037689e-010
1.096510623665381e-004	1.027415e+000	1.037689e-010
1.164869998665381e-004	1.027415e+000	1.037689e-010
1.301588748665381e-004	1.027415e+000	1.037689e-010
1.369948123665381e-004	1.027415e+000	1.037689e-010
1.438307498665381e-004	1.027415e+000	1.037689e-010
1.506666873665381e-004	1.027415e+000	1.037689e-010
1.575026248665381e-004	1.027415e+000	1.037689e-010
1.643385623665381e-004	1.027415e+000	1.037689e-010
1.711744998665381e-004	1.027415e+000	1.037689e-010
1.780104373665381e-004	1.027415e+000	1.037689e-010
1.848463748665381e-004	1.027415e+000	1.037689e-010
1.916823123665381e-004	1.027415e+000	1.037689e-010
1.985182498665381e-004	1.027415e+000	1.037689e-010
2.053541873665381e-004	1.027415e+000	1.037689e-010
2.190260623665381e-004	1.027415e+000	1.037689e-010
2.326979373665381e-004	1.027415e+000	1.037689e-010
2.395338748665381e-004	1.027415e+000	1.037689e-010
2.463698123665381e-004	1.027415e+000	1.037689e-010
2.532057498665381e-004	1.027415e+000	1.037689e-010
2.600416873665381e-004	1.027415e+000	1.037689e-010
2.668776248665381e-004	1.027415e+000	1.037689e-010
2.737135623665381e-004	1.027415e+000	1.037689e-010
2.805494998665381e-004	1.027415e+000	1.037689e-010
2.873854373665381e-004	1.027415e+000	1.037689e-010
2.942213748665381e-004	1.027415e+000	1.037689e-010
3.078932498665381e-004	1.027415e+000	1.037689e-010
3.215651248665381e-004	1.027415e+000	1.037689e-010
3.352369998665381e-004	1.027415e+000	1.037689e-010
3.489088748665381e-004	1.027415e+000	1.037689e-010
3.694166873665381e-004	1.027415e+000	1.037689e-010
3.830885623665381e-004	1.027415e+000	1.037689e-010
3.967604373665381e-004	1.027415e+000	1.037689e-010
4.104323123665381e-004	1.027415e+000	1.037689e-010
4.309401248665381e-004	1.027415e+000	1.037689e-010
4.446119998665381e-004	1.027415e+000	1.037689e-010
4.651198123665381e-004	1.027415e+000	1.037689e-010
1.993739624733076e-003	1.027415e+000	1.037689e-010
1.999000000000000e-003	1.027415e+000	1.037689e-010
1.999006381091721e-003	7.002394e-001	3.577676e-001
1.999019143275162e-003	5.372500e-001	5.372500e-001
1.999021461979807e-003	5.387652e-001	5.387652e-001
1.999023095631671e-003	5.399517e-001	5.399517e-001
1.999023876122932e-003	5.408143e-001	5.408143e-001
1.999024639423772e-003	5.416942e-001	5.416942e-001
1.999025450984956e-003	5.425081e-001	5.425081e-001
