time	V(vout)	-I(Rl)
0.000000000000000e+000	2.027842e+000	2.048119e-010
4.999999858590343e-010	2.027827e+000	2.048105e-010
5.488197107654516e-010	2.027827e+000	2.048104e-010
6.464591605782861e-010	2.027827e+000	2.048105e-010
8.417380602039553e-010	2.027830e+000	2.048108e-010
1.232295859455294e-009	2.027835e+000	2.048113e-010
1.628757634452346e-009	2.027839e+000	2.048117e-010
2.384352732433071e-009	2.027842e+000	2.048120e-010
3.895542928394520e-009	2.027844e+000	2.048122e-010
5.432475398493616e-009	2.027844e+000	2.048122e-010
8.506340338691808e-009	2.027843e+000	2.048121e-010
1.282021572839094e-008	2.027842e+000	2.048120e-010
2.144796650778920e-008	2.027842e+000	2.048119e-010
3.870346806658573e-008	2.027842e+000	2.048119e-010
7.115290014343008e-008	2.027842e+000	2.048119e-010
1.360517642971188e-007	2.027842e+000	2.048119e-010
2.658494926044962e-007	2.027842e+000	2.048119e-010
5.254449492192511e-007	2.027842e+000	2.048119e-010
4.159781341825819e-006	2.027842e+000	2.048119e-010
8.313308647661897e-006	2.027842e+000	2.048119e-010
1.662036325933405e-005	2.027842e+000	2.048119e-010
3.323447248267836e-005	2.027842e+000	2.048119e-010
6.646269092936699e-005	2.027842e+000	2.048119e-010
1.164626909293670e-004	2.027842e+000	2.048119e-010
1.664626909293670e-004	2.027842e+000	2.048119e-010
2.164626909293670e-004	2.027842e+000	2.048119e-010
3.164626909293670e-004	2.027842e+000	2.048119e-010
1.995000000000000e-002	2.027842e+000	2.048119e-010
2.000000000000000e-002	2.027842e+000	2.048119e-010
2.000007812500000e-002	1.713484e+000	5.187685e-001
2.000023437500000e-002	1.710128e+000	8.550639e-001
2.000023443021702e-002	1.710283e+000	8.551416e-001
2.000023454065105e-002	1.710723e+000	8.553615e-001
2.000023456825956e-002	1.710808e+000	8.554041e-001
2.000023462347658e-002	1.710942e+000	8.554712e-001
2.000023473391062e-002	1.711189e+000	8.555945e-001
2.000023495477868e-002	1.711640e+000	8.558198e-001
2.000023539651482e-002	1.712468e+000	8.562338e-001
2.000023603793747e-002	1.713600e+000	8.568000e-001
2.000023605397646e-002	1.713627e+000	8.568135e-001
2.000023608605444e-002	1.713680e+000	8.568399e-001
2.000023615021039e-002	1.713785e+000	8.568925e-001
2.000023627852230e-002	1.713993e+000	8.569966e-001
2.000023653514613e-002	1.714402e+000	8.572011e-001
2.000023704839378e-002	1.715202e+000	8.576008e-001
2.000023807488907e-002	1.716772e+000	8.583860e-001
2.000023833151290e-002	1.717161e+000	8.585806e-001
2.000023884476055e-002	1.717942e+000	8.589712e-001
2.000023987125585e-002	1.719547e+000	8.597733e-001
2.000024192424644e-002	1.722984e+000	8.614921e-001
2.000024603022763e-002	1.730801e+000	8.654007e-001
2.000025202517607e-002	1.744543e+000	8.722715e-001
2.000026018203555e-002	1.768096e+000	8.840480e-001
2.000027271527088e-002	1.813144e+000	9.065719e-001
2.000028561270059e-002	1.868701e+000	9.343506e-001
2.000030452160952e-002	1.960099e+000	9.800496e-001
2.000032699823553e-002	2.071976e+000	1.035988e+000
2.000034070936478e-002	2.138523e+000	1.069261e+000
2.000034090594417e-002	2.139430e+000	1.069715e+000
2.000034129910296e-002	2.141188e+000	1.070594e+000
2.000034208542052e-002	2.144698e+000	1.072349e+000
2.000034228199991e-002	2.145572e+000	1.072786e+000
2.000034267515870e-002	2.147313e+000	1.073657e+000
2.000034346147626e-002	2.150774e+000	1.075387e+000
2.000034503411140e-002	2.157645e+000	1.078823e+000
2.000034542727018e-002	2.159348e+000	1.079674e+000
2.000034621358775e-002	2.162731e+000	1.081365e+000
2.000034680332592e-002	2.165248e+000	1.082624e+000
2.000034758964349e-002	2.168574e+000	1.084287e+000
2.000034916227862e-002	2.175122e+000	1.087561e+000
2.000035230754889e-002	2.187785e+000	1.093893e+000
2.000035859808943e-002	2.211269e+000	1.105634e+000
2.000037117917050e-002	2.254627e+000	1.127313e+000
2.000037161496807e-002	2.256009e+000	1.128005e+000
2.000037248656320e-002	2.258587e+000	1.129294e+000
2.000037422975345e-002	2.263588e+000	1.131794e+000
2.000037771613395e-002	2.273156e+000	1.136578e+000
2.000038040603460e-002	2.280162e+000	1.140081e+000
2.000038231170424e-002	2.284858e+000	1.142429e+000
2.000038389937853e-002	2.288581e+000	1.144291e+000
2.000038570997693e-002	2.292629e+000	1.146315e+000
2.000038782401596e-002	2.297055e+000	1.148528e+000
2.000039205209402e-002	2.305103e+000	1.152551e+000
2.000039709901963e-002	2.313317e+000	1.156658e+000
2.000040509898175e-002	2.323546e+000	1.161773e+000
2.000041289811707e-002	2.330389e+000	1.165195e+000
2.000042238225485e-002	2.334653e+000	1.167326e+000
2.000043212081037e-002	2.335028e+000	1.167514e+000
2.000044503509103e-002	2.331022e+000	1.165511e+000
2.000045958033208e-002	2.323696e+000	1.161848e+000
2.000047438578874e-002	2.315771e+000	1.157885e+000
2.000048775007019e-002	2.309364e+000	1.154682e+000
2.000050090609228e-002	2.303736e+000	1.151868e+000
2.000051645337120e-002	2.297451e+000	1.148725e+000
2.000053133112259e-002	2.291566e+000	1.145783e+000
2.000053344430495e-002	2.290739e+000	1.145370e+000
2.000053767066967e-002	2.289101e+000	1.144550e+000
2.000054612339910e-002	2.285868e+000	1.142934e+000
2.000055454383506e-002	2.282861e+000	1.141431e+000
2.000057138470699e-002	2.277673e+000	1.138837e+000
2.000058600997300e-002	2.273832e+000	1.136916e+000
2.000060327653354e-002	2.269430e+000	1.134715e+000
2.000061910883782e-002	2.264996e+000	1.132498e+000
2.000063031608803e-002	2.261599e+000	1.130800e+000
2.000063184166638e-002	2.261115e+000	1.130558e+000
2.000063489282309e-002	2.260122e+000	1.130061e+000
2.000064099513649e-002	2.258099e+000	1.129050e+000
2.000065319976329e-002	2.253943e+000	1.126972e+000
2.000067207047911e-002	2.247345e+000	1.123673e+000
2.000069083673137e-002	2.240648e+000	1.120324e+000
2.000071381897441e-002	2.232358e+000	1.116179e+000
2.000073832345716e-002	2.223496e+000	1.111748e+000
2.000074233506696e-002	2.222048e+000	1.111024e+000
2.000075035828654e-002	2.219160e+000	1.109580e+000
2.000076640472571e-002	2.213399e+000	1.106699e+000
2.000077041633551e-002	2.211963e+000	1.105982e+000
2.000077843955509e-002	2.209105e+000	1.104552e+000
2.000079448599426e-002	2.203423e+000	1.101712e+000
2.000082657887261e-002	2.192168e+000	1.096084e+000
2.000085627099848e-002	2.181917e+000	1.090959e+000
2.000091565525022e-002	2.161864e+000	1.080932e+000
2.000098424425281e-002	2.139282e+000	1.069641e+000
2.000104416963443e-002	2.120121e+000	1.060061e+000
2.000110701628158e-002	2.100661e+000	1.050330e+000
2.000119451908941e-002	2.074472e+000	1.037236e+000
2.000128458602507e-002	2.048600e+000	1.024300e+000
2.000141694425033e-002	2.012180e+000	1.006090e+000
2.000150986505407e-002	1.987577e+000	9.937884e-001
2.000157696273558e-002	1.970415e+000	9.852076e-001
2.000164972115952e-002	1.952315e+000	9.761575e-001
2.000172874516056e-002	1.933106e+000	9.665529e-001
2.000177302718734e-002	1.922568e+000	9.612839e-001
2.000181402385430e-002	1.913008e+000	9.565040e-001
2.000187138401401e-002	1.899878e+000	9.499392e-001
2.000192383663348e-002	1.888119e+000	9.440594e-001
2.000197712567351e-002	1.876477e+000	9.382384e-001
2.000203540496118e-002	1.864211e+000	9.321057e-001
2.000210369052546e-002	1.850841e+000	9.254203e-001
2.000217973087646e-002	1.837982e+000	9.189909e-001
2.000224190680845e-002	1.830359e+000	9.151797e-001
2.000230019039585e-002	1.827271e+000	9.136354e-001
2.000236338027310e-002	1.828711e+000	9.143556e-001
2.000240653052302e-002	1.832685e+000	9.163424e-001
2.000244894438422e-002	1.838854e+000	9.194270e-001
2.000249404756868e-002	1.846822e+000	9.234110e-001
2.000253868173085e-002	1.855416e+000	9.277082e-001
2.000259552453093e-002	1.866643e+000	9.333217e-001
2.000259645345848e-002	1.866826e+000	9.334131e-001
2.000259831131357e-002	1.867190e+000	9.335949e-001
2.000260202702376e-002	1.867915e+000	9.339575e-001
2.000260945844415e-002	1.869357e+000	9.346783e-001
2.000262432128492e-002	1.872202e+000	9.361011e-001
2.000265404696645e-002	1.877745e+000	9.388725e-001
2.000271349832953e-002	1.888434e+000	9.442170e-001
2.000277270452504e-002	1.898662e+000	9.493312e-001
2.000284258335883e-002	1.910323e+000	9.551613e-001
2.000292661490001e-002	1.924073e+000	9.620363e-001
2.000294305695312e-002	1.926730e+000	9.633651e-001
2.000297594105931e-002	1.931980e+000	9.659901e-001
2.000304170927171e-002	1.942372e+000	9.711862e-001
2.000305358080857e-002	1.944220e+000	9.721102e-001
2.000307732388230e-002	1.947843e+000	9.739215e-001
2.000312481002975e-002	1.954975e+000	9.774876e-001
2.000313289276098e-002	1.956166e+000	9.780828e-001
2.000314905822344e-002	1.958491e+000	9.792455e-001
2.000318138914836e-002	1.962988e+000	9.814942e-001
2.000324605099820e-002	1.971410e+000	9.857051e-001
2.000333062524261e-002	1.981637e+000	9.908186e-001
2.000334172507422e-002	1.982872e+000	9.914362e-001
2.000336392473744e-002	1.985150e+000	9.925752e-001
2.000340832406387e-002	1.989308e+000	9.946538e-001
2.000349712271674e-002	1.996858e+000	9.984291e-001
2.000349850906773e-002	1.996966e+000	9.984829e-001
2.000349885565548e-002	1.996991e+000	9.984955e-001
2.000349954883097e-002	1.997041e+000	9.985206e-001
2.000350093518196e-002	1.997142e+000	9.985708e-001
2.000350197494520e-002	1.997217e+000	9.986083e-001
2.000350336129619e-002	1.997316e+000	9.986580e-001
2.000350613399817e-002	1.997514e+000	9.987571e-001
2.000350682717367e-002	1.997564e+000	9.987818e-001
2.000350821352466e-002	1.997662e+000	9.988308e-001
2.000351098622663e-002	1.997857e+000	9.989285e-001
2.000351167940213e-002	1.997906e+000	9.989529e-001
2.000351306575312e-002	1.998003e+000	9.990013e-001
2.000351341234087e-002	1.998027e+000	9.990134e-001
2.000351410551636e-002	1.998075e+000	9.990375e-001
2.000351427881024e-002	1.998087e+000	9.990435e-001
2.000351462539798e-002	1.998111e+000	9.990555e-001
2.000351531857348e-002	1.998159e+000	9.990796e-001
2.000351549186735e-002	1.998171e+000	9.990856e-001
2.000351583845510e-002	1.998195e+000	9.990976e-001
2.000351653163060e-002	1.998243e+000	9.991215e-001
2.000351791798159e-002	1.998338e+000	9.991692e-001
2.000352069068356e-002	1.998528e+000	9.992638e-001
2.000352623608752e-002	1.998900e+000	9.994502e-001
2.000353732689544e-002	1.999623e+000	9.998116e-001
2.000355950851127e-002	2.001020e+000	1.000510e+000
2.000356505391523e-002	2.001356e+000	1.000678e+000
2.000357614472314e-002	2.001996e+000	1.000998e+000
2.000359832633897e-002	2.003233e+000	1.001617e+000
2.000360387174293e-002	2.003532e+000	1.001766e+000
2.000360525809392e-002	2.003604e+000	1.001802e+000
2.000360803079590e-002	2.003749e+000	1.001875e+000
2.000360872397140e-002	2.003785e+000	1.001893e+000
2.000361011032239e-002	2.003857e+000	1.001928e+000
2.000361288302436e-002	2.003999e+000	1.001999e+000
2.000361842842832e-002	2.004278e+000	1.002139e+000
2.000362951923624e-002	2.004817e+000	1.002409e+000
2.000365170085207e-002	2.005827e+000	1.002913e+000
2.000369606408373e-002	2.007696e+000	1.003848e+000
2.000370715489164e-002	2.008124e+000	1.004062e+000
2.000372933650748e-002	2.008895e+000	1.004447e+000
2.000377369973914e-002	2.010288e+000	1.005144e+000
2.000381756039373e-002	2.011481e+000	1.005741e+000
2.000387295312935e-002	2.012789e+000	1.006395e+000
2.000388210180152e-002	2.012981e+000	1.006490e+000
2.000390039914586e-002	2.013324e+000	1.006662e+000
2.000393699383454e-002	2.013973e+000	1.006987e+000
2.000393813741856e-002	2.013993e+000	1.006996e+000
2.000394042458660e-002	2.014030e+000	1.007015e+000
2.000394099637861e-002	2.014039e+000	1.007019e+000
2.000394113932662e-002	2.014041e+000	1.007020e+000
2.000394142522262e-002	2.014046e+000	1.007023e+000
2.000394149669662e-002	2.014047e+000	1.007023e+000
2.000394163964463e-002	2.014049e+000	1.007025e+000
2.000394192554063e-002	2.014054e+000	1.007027e+000
2.000394249733264e-002	2.014063e+000	1.007031e+000
2.000394364091666e-002	2.014081e+000	1.007041e+000
2.000394592808471e-002	2.014117e+000	1.007059e+000
2.000395050242079e-002	2.014188e+000	1.007094e+000
2.000395965109296e-002	2.014327e+000	1.007163e+000
2.000397794843730e-002	2.014593e+000	1.007297e+000
2.000398366635741e-002	2.014674e+000	1.007337e+000
2.000398395225341e-002	2.014678e+000	1.007339e+000
2.000398452404542e-002	2.014686e+000	1.007343e+000
2.000398566762944e-002	2.014701e+000	1.007351e+000
2.000398795479749e-002	2.014732e+000	1.007366e+000
2.000399252913357e-002	2.014793e+000	1.007397e+000
2.000400167780574e-002	2.014912e+000	1.007456e+000
2.000402454948616e-002	2.015197e+000	1.007598e+000
2.000403369815833e-002	2.015304e+000	1.007652e+000
2.000403598532638e-002	2.015330e+000	1.007665e+000
2.000404055966246e-002	2.015382e+000	1.007691e+000
2.000404970833463e-002	2.015481e+000	1.007741e+000
2.000406800567897e-002	2.015670e+000	1.007835e+000
2.000410460036765e-002	2.016011e+000	1.008005e+000
2.000415583755850e-002	2.016414e+000	1.008207e+000
2.000425831194020e-002	2.017078e+000	1.008539e+000
2.000428393053562e-002	2.017213e+000	1.008607e+000
2.000433516772647e-002	2.017426e+000	1.008713e+000
2.000443764210816e-002	2.017760e+000	1.008880e+000
2.000459077444157e-002	2.018113e+000	1.009057e+000
2.000476406869929e-002	2.018371e+000	1.009186e+000
2.000499631606580e-002	2.018591e+000	1.009296e+000
2.000520315986086e-002	2.018734e+000	1.009367e+000
2.000520685594115e-002	2.018736e+000	1.009368e+000
2.000520707994601e-002	2.018737e+000	1.009368e+000
2.000520752795574e-002	2.018737e+000	1.009368e+000
2.000520842397521e-002	2.018737e+000	1.009369e+000
2.000521021601413e-002	2.018738e+000	1.009369e+000
2.000521380009198e-002	2.018740e+000	1.009370e+000
2.000521391209441e-002	2.018740e+000	1.009370e+000
2.000521413609928e-002	2.018740e+000	1.009370e+000
2.000521458410901e-002	2.018741e+000	1.009370e+000
2.000521548012847e-002	2.018741e+000	1.009371e+000
2.000521570413334e-002	2.018741e+000	1.009371e+000
2.000521615214307e-002	2.018741e+000	1.009371e+000
2.000521704816253e-002	2.018742e+000	1.009371e+000
2.000521727216740e-002	2.018742e+000	1.009371e+000
2.000521772017713e-002	2.018742e+000	1.009371e+000
2.000521861619659e-002	2.018743e+000	1.009371e+000
2.000521884020146e-002	2.018743e+000	1.009371e+000
2.000521928821119e-002	2.018743e+000	1.009372e+000
2.000522018423065e-002	2.018744e+000	1.009372e+000
2.000522040823552e-002	2.018744e+000	1.009372e+000
2.000522085624525e-002	2.018744e+000	1.009372e+000
2.000522175226471e-002	2.018744e+000	1.009372e+000
2.000522197626958e-002	2.018744e+000	1.009372e+000
2.000522242427931e-002	2.018745e+000	1.009372e+000
2.000522332029877e-002	2.018745e+000	1.009373e+000
2.000522511233770e-002	2.018746e+000	1.009373e+000
2.000522556034743e-002	2.018746e+000	1.009373e+000
2.000522567234986e-002	2.018747e+000	1.009373e+000
2.000522589635473e-002	2.018747e+000	1.009373e+000
2.000522634436446e-002	2.018747e+000	1.009373e+000
2.000522724038392e-002	2.018747e+000	1.009374e+000
2.000522903242284e-002	2.018748e+000	1.009374e+000
2.000523261650069e-002	2.018750e+000	1.009375e+000
2.000523978465639e-002	2.018754e+000	1.009377e+000
2.000525412096780e-002	2.018762e+000	1.009381e+000
2.000527870281593e-002	2.018774e+000	1.009387e+000
2.000531152508512e-002	2.018791e+000	1.009395e+000
2.000534501541858e-002	2.018808e+000	1.009404e+000
2.000537960933487e-002	2.018825e+000	1.009412e+000
2.000542026790560e-002	2.018844e+000	1.009422e+000
2.000547868729419e-002	2.018872e+000	1.009436e+000
2.000548816986485e-002	2.018876e+000	1.009438e+000
2.000550713500616e-002	2.018885e+000	1.009442e+000
2.000554625061011e-002	2.018903e+000	1.009451e+000
2.000554862125278e-002	2.018903e+000	1.009452e+000
2.000555336253811e-002	2.018906e+000	1.009453e+000
2.000556284510876e-002	2.018910e+000	1.009455e+000
2.000558181025007e-002	2.018919e+000	1.009459e+000
2.000558533134349e-002	2.018920e+000	1.009460e+000
2.000558621161684e-002	2.018921e+000	1.009460e+000
2.000558797216355e-002	2.018921e+000	1.009461e+000
2.000558841230022e-002	2.018922e+000	1.009461e+000
2.000558852233439e-002	2.018922e+000	1.009461e+000
2.000558874240273e-002	2.018922e+000	1.009461e+000
2.000558918253941e-002	2.018922e+000	1.009461e+000
2.000559006281276e-002	2.018922e+000	1.009461e+000
2.000559028288110e-002	2.018922e+000	1.009461e+000
2.000559072301778e-002	2.018923e+000	1.009461e+000
2.000559160329113e-002	2.018923e+000	1.009462e+000
2.000559336383784e-002	2.018924e+000	1.009462e+000
2.000559688493125e-002	2.018925e+000	1.009463e+000
2.000560392711807e-002	2.018929e+000	1.009464e+000
2.000561801149172e-002	2.018935e+000	1.009467e+000
2.000564283623164e-002	2.018946e+000	1.009473e+000
2.000564635827206e-002	2.018947e+000	1.009474e+000
2.000565340235290e-002	2.018950e+000	1.009475e+000
2.000566749051457e-002	2.018957e+000	1.009478e+000
2.000569566683792e-002	2.018969e+000	1.009485e+000
2.000573752606868e-002	2.018987e+000	1.009494e+000
2.000577848516210e-002	2.019005e+000	1.009503e+000
2.000586040334892e-002	2.019040e+000	1.009520e+000
2.000593840086637e-002	2.019073e+000	1.009537e+000
2.000602581815666e-002	2.019110e+000	1.009555e+000
2.000638161398042e-002	2.019257e+000	1.009628e+000
2.000695147945272e-002	2.019485e+000	1.009742e+000
2.000765809283780e-002	2.019758e+000	1.009879e+000
2.000923912685695e-002	2.020338e+000	1.010169e+000
2.001013074549261e-002	2.020646e+000	1.010323e+000
2.001105608128188e-002	2.020951e+000	1.010476e+000
2.001210334395573e-002	2.021280e+000	1.010640e+000
2.001331974629155e-002	2.021638e+000	1.010819e+000
2.001522334786358e-002	2.022148e+000	1.011074e+000
2.001903055100764e-002	2.023013e+000	1.011506e+000
2.002664495729577e-002	2.024367e+000	1.012183e+000
2.003443506706835e-002	2.025359e+000	1.012680e+000
2.004378885956476e-002	2.026143e+000	1.013071e+000
2.005329917309526e-002	2.026639e+000	1.013320e+000
2.006677594687347e-002	2.027046e+000	1.013523e+000
2.007969884052478e-002	2.027256e+000	1.013628e+000
2.009819263404423e-002	2.027394e+000	1.013697e+000
2.011579376293361e-002	2.027451e+000	1.013725e+000
2.014310147240383e-002	2.027479e+000	1.013740e+000
2.017047049857963e-002	2.027488e+000	1.013744e+000
2.021997283316951e-002	2.027490e+000	1.013745e+000
2.026997283316951e-002	2.027490e+000	1.013745e+000
2.031997283316951e-002	2.027490e+000	1.013745e+000
2.036997283316951e-002	2.027490e+000	1.013745e+000
2.041997283316951e-002	2.027490e+000	1.013745e+000
2.046997283316951e-002	2.027490e+000	1.013745e+000
2.051997283316951e-002	2.027490e+000	1.013745e+000
2.056997283316952e-002	2.027490e+000	1.013745e+000
2.061997283316952e-002	2.027490e+000	1.013745e+000
2.066997283316952e-002	2.027490e+000	1.013745e+000
2.071997283316952e-002	2.027490e+000	1.013745e+000
2.076997283316952e-002	2.027490e+000	1.013745e+000
2.081997283316952e-002	2.027490e+000	1.013745e+000
2.086997283316952e-002	2.027490e+000	1.013745e+000
2.091997283316953e-002	2.027490e+000	1.013745e+000
2.096997283316953e-002	2.027490e+000	1.013745e+000
2.101997283316953e-002	2.027490e+000	1.013745e+000
2.106997283316953e-002	2.027490e+000	1.013745e+000
2.111997283316953e-002	2.027490e+000	1.013745e+000
2.116997283316953e-002	2.027490e+000	1.013745e+000
2.121997283316953e-002	2.027490e+000	1.013745e+000
2.126997283316954e-002	2.027490e+000	1.013745e+000
2.131997283316954e-002	2.027490e+000	1.013745e+000
2.136997283316954e-002	2.027490e+000	1.013745e+000
2.141997283316954e-002	2.027490e+000	1.013745e+000
2.146997283316954e-002	2.027490e+000	1.013745e+000
2.151997283316954e-002	2.027490e+000	1.013745e+000
2.156997283316954e-002	2.027490e+000	1.013745e+000
2.161997283316955e-002	2.027490e+000	1.013745e+000
2.166997283316955e-002	2.027490e+000	1.013745e+000
2.171997283316955e-002	2.027490e+000	1.013745e+000
2.176997283316955e-002	2.027490e+000	1.013745e+000
2.181997283316955e-002	2.027490e+000	1.013745e+000
2.186997283316955e-002	2.027490e+000	1.013745e+000
2.191997283316955e-002	2.027490e+000	1.013745e+000
2.196997283316956e-002	2.027490e+000	1.013745e+000
2.201997283316956e-002	2.027490e+000	1.013745e+000
2.206997283316956e-002	2.027490e+000	1.013745e+000
2.211997283316956e-002	2.027490e+000	1.013745e+000
2.216997283316956e-002	2.027490e+000	1.013745e+000
2.221997283316956e-002	2.027490e+000	1.013745e+000
2.226997283316956e-002	2.027490e+000	1.013745e+000
2.231997283316957e-002	2.027490e+000	1.013745e+000
2.236997283316957e-002	2.027490e+000	1.013745e+000
2.241997283316957e-002	2.027490e+000	1.013745e+000
2.246997283316957e-002	2.027490e+000	1.013745e+000
2.251997283316957e-002	2.027490e+000	1.013745e+000
2.256997283316957e-002	2.027490e+000	1.013745e+000
2.261997283316957e-002	2.027490e+000	1.013745e+000
2.266997283316958e-002	2.027490e+000	1.013745e+000
2.271997283316958e-002	2.027490e+000	1.013745e+000
2.276997283316958e-002	2.027490e+000	1.013745e+000
2.281997283316958e-002	2.027490e+000	1.013745e+000
2.286997283316958e-002	2.027490e+000	1.013745e+000
2.291997283316958e-002	2.027490e+000	1.013745e+000
2.296997283316958e-002	2.027490e+000	1.013745e+000
2.301997283316959e-002	2.027490e+000	1.013745e+000
2.306997283316959e-002	2.027490e+000	1.013745e+000
2.311997283316959e-002	2.027490e+000	1.013745e+000
2.316997283316959e-002	2.027490e+000	1.013745e+000
2.321997283316959e-002	2.027490e+000	1.013745e+000
2.326997283316959e-002	2.027490e+000	1.013745e+000
2.331997283316959e-002	2.027490e+000	1.013745e+000
2.336997283316960e-002	2.027490e+000	1.013745e+000
2.341997283316960e-002	2.027490e+000	1.013745e+000
2.346997283316960e-002	2.027490e+000	1.013745e+000
2.351997283316960e-002	2.027490e+000	1.013745e+000
2.356997283316960e-002	2.027490e+000	1.013745e+000
2.361997283316960e-002	2.027490e+000	1.013745e+000
2.366997283316960e-002	2.027490e+000	1.013745e+000
2.371997283316961e-002	2.027490e+000	1.013745e+000
2.376997283316961e-002	2.027490e+000	1.013745e+000
2.381997283316961e-002	2.027490e+000	1.013745e+000
2.386997283316961e-002	2.027490e+000	1.013745e+000
2.391997283316961e-002	2.027490e+000	1.013745e+000
2.396997283316961e-002	2.027490e+000	1.013745e+000
2.401997283316961e-002	2.027490e+000	1.013745e+000
2.406997283316962e-002	2.027490e+000	1.013745e+000
2.411997283316962e-002	2.027490e+000	1.013745e+000
2.416997283316962e-002	2.027490e+000	1.013745e+000
2.421997283316962e-002	2.027490e+000	1.013745e+000
2.426997283316962e-002	2.027490e+000	1.013745e+000
2.431997283316962e-002	2.027490e+000	1.013745e+000
2.436997283316962e-002	2.027490e+000	1.013745e+000
2.441997283316963e-002	2.027490e+000	1.013745e+000
2.446997283316963e-002	2.027490e+000	1.013745e+000
2.451997283316963e-002	2.027490e+000	1.013745e+000
2.456997283316963e-002	2.027490e+000	1.013745e+000
2.461997283316963e-002	2.027490e+000	1.013745e+000
2.466997283316963e-002	2.027490e+000	1.013745e+000
2.471997283316963e-002	2.027490e+000	1.013745e+000
2.476997283316964e-002	2.027490e+000	1.013745e+000
2.481997283316964e-002	2.027490e+000	1.013745e+000
2.486997283316964e-002	2.027490e+000	1.013745e+000
2.491997283316964e-002	2.027490e+000	1.013745e+000
2.496997283316964e-002	2.027490e+000	1.013745e+000
2.501997283316964e-002	2.027490e+000	1.013745e+000
2.506997283316964e-002	2.027490e+000	1.013745e+000
2.511997283316965e-002	2.027490e+000	1.013745e+000
2.516997283316965e-002	2.027490e+000	1.013745e+000
2.521997283316965e-002	2.027490e+000	1.013745e+000
2.526997283316965e-002	2.027490e+000	1.013745e+000
2.531997283316965e-002	2.027490e+000	1.013745e+000
2.536997283316965e-002	2.027490e+000	1.013745e+000
2.541997283316965e-002	2.027490e+000	1.013745e+000
2.546997283316966e-002	2.027490e+000	1.013745e+000
2.551997283316966e-002	2.027490e+000	1.013745e+000
2.556997283316966e-002	2.027490e+000	1.013745e+000
2.561997283316966e-002	2.027490e+000	1.013745e+000
2.566997283316966e-002	2.027490e+000	1.013745e+000
2.571997283316966e-002	2.027490e+000	1.013745e+000
2.576997283316966e-002	2.027490e+000	1.013745e+000
2.581997283316967e-002	2.027490e+000	1.013745e+000
2.586997283316967e-002	2.027490e+000	1.013745e+000
2.591997283316967e-002	2.027490e+000	1.013745e+000
2.596997283316967e-002	2.027490e+000	1.013745e+000
2.601997283316967e-002	2.027490e+000	1.013745e+000
2.606997283316967e-002	2.027490e+000	1.013745e+000
2.611997283316967e-002	2.027490e+000	1.013745e+000
2.616997283316968e-002	2.027490e+000	1.013745e+000
2.621997283316968e-002	2.027490e+000	1.013745e+000
2.626997283316968e-002	2.027490e+000	1.013745e+000
2.631997283316968e-002	2.027490e+000	1.013745e+000
2.636997283316968e-002	2.027490e+000	1.013745e+000
2.641997283316968e-002	2.027490e+000	1.013745e+000
2.646997283316968e-002	2.027490e+000	1.013745e+000
2.651997283316969e-002	2.027490e+000	1.013745e+000
2.656997283316969e-002	2.027490e+000	1.013745e+000
2.661997283316969e-002	2.027490e+000	1.013745e+000
2.666997283316969e-002	2.027490e+000	1.013745e+000
2.671997283316969e-002	2.027490e+000	1.013745e+000
2.676997283316969e-002	2.027490e+000	1.013745e+000
2.681997283316969e-002	2.027490e+000	1.013745e+000
2.686997283316970e-002	2.027490e+000	1.013745e+000
2.691997283316970e-002	2.027490e+000	1.013745e+000
2.696997283316970e-002	2.027490e+000	1.013745e+000
2.701997283316970e-002	2.027490e+000	1.013745e+000
2.711997283316970e-002	2.027490e+000	1.013745e+000
2.716997283316970e-002	2.027490e+000	1.013745e+000
2.721997283316971e-002	2.027490e+000	1.013745e+000
2.726997283316971e-002	2.027490e+000	1.013745e+000
2.731997283316971e-002	2.027490e+000	1.013745e+000
2.736997283316971e-002	2.027490e+000	1.013745e+000
2.741997283316971e-002	2.027490e+000	1.013745e+000
2.746997283316971e-002	2.027490e+000	1.013745e+000
2.751997283316971e-002	2.027490e+000	1.013745e+000
2.756997283316972e-002	2.027490e+000	1.013745e+000
2.761997283316972e-002	2.027490e+000	1.013745e+000
2.766997283316972e-002	2.027490e+000	1.013745e+000
2.771997283316972e-002	2.027490e+000	1.013745e+000
2.776997283316972e-002	2.027490e+000	1.013745e+000
2.781997283316972e-002	2.027490e+000	1.013745e+000
2.786997283316972e-002	2.027490e+000	1.013745e+000
2.791997283316973e-002	2.027490e+000	1.013745e+000
2.796997283316973e-002	2.027490e+000	1.013745e+000
2.801997283316973e-002	2.027490e+000	1.013745e+000
2.806997283316973e-002	2.027490e+000	1.013745e+000
2.811997283316973e-002	2.027490e+000	1.013745e+000
2.816997283316973e-002	2.027490e+000	1.013745e+000
2.821997283316973e-002	2.027490e+000	1.013745e+000
2.826997283316974e-002	2.027490e+000	1.013745e+000
2.831997283316974e-002	2.027490e+000	1.013745e+000
2.836997283316974e-002	2.027490e+000	1.013745e+000
2.841997283316974e-002	2.027490e+000	1.013745e+000
2.846997283316974e-002	2.027490e+000	1.013745e+000
2.851997283316974e-002	2.027490e+000	1.013745e+000
2.856997283316974e-002	2.027490e+000	1.013745e+000
2.866997283316975e-002	2.027490e+000	1.013745e+000
2.871997283316975e-002	2.027490e+000	1.013745e+000
