time	V(vout)	-I(Rl)
0.000000000000000e+000	1.027415e+000	1.037689e-010
1.000000013351432e-010	1.027415e+000	1.037689e-010
2.000000026702864e-010	1.027415e+000	1.037689e-010
4.000000053405728e-010	1.027415e+000	1.037689e-010
8.000000106811456e-010	1.027415e+000	1.037689e-010
1.600000021362291e-009	1.027415e+000	1.037689e-010
3.200000042724582e-009	1.027415e+000	1.037689e-010
6.400000085449165e-009	1.027415e+000	1.037689e-010
1.280000017089833e-008	1.027415e+000	1.037689e-010
2.560000034179666e-008	1.027415e+000	1.037689e-010
5.120000068359332e-008	1.027415e+000	1.037689e-010
1.024000013671866e-007	1.027415e+000	1.037689e-010
2.048000027343733e-007	1.027415e+000	1.037689e-010
4.096000054687465e-007	1.027415e+000	1.037689e-010
8.192000109374931e-007	1.027415e+000	1.037689e-010
1.638400021874986e-006	1.027415e+000	1.037689e-010
2.638400021874986e-006	1.027415e+000	1.037689e-010
3.638400021874986e-006	1.027415e+000	1.037689e-010
5.638400021874986e-006	1.027415e+000	1.037689e-010
7.638400021874986e-006	1.027415e+000	1.037689e-010
8.638400021874987e-006	1.027415e+000	1.037689e-010
9.638400021874986e-006	1.027415e+000	1.037689e-010
1.063840002187499e-005	1.027415e+000	1.037689e-010
1.163840002187499e-005	1.027415e+000	1.037689e-010
1.263840002187499e-005	1.027415e+000	1.037689e-010
1.363840002187499e-005	1.027415e+000	1.037689e-010
1.463840002187499e-005	1.027415e+000	1.037689e-010
1.663840002187499e-005	1.027415e+000	1.037689e-010
1.963840002187499e-005	1.027415e+000	1.037689e-010
2.063840002187499e-005	1.027415e+000	1.037689e-010
2.163840002187499e-005	1.027415e+000	1.037689e-010
2.263840002187499e-005	1.027415e+000	1.037689e-010
2.363840002187499e-005	1.027415e+000	1.037689e-010
2.463840002187499e-005	1.027415e+000	1.037689e-010
2.563840002187499e-005	1.027415e+000	1.037689e-010
2.663840002187499e-005	1.027415e+000	1.037689e-010
2.863840002187499e-005	1.027415e+000	1.037689e-010
2.935268573616070e-005	1.027415e+000	1.037689e-010
3.006697145044642e-005	1.027415e+000	1.037689e-010
3.078125716473213e-005	1.027415e+000	1.037689e-010
3.149554287901785e-005	1.027415e+000	1.037689e-010
3.220982859330356e-005	1.027415e+000	1.037689e-010
3.292411430758927e-005	1.027415e+000	1.037689e-010
3.363840002187499e-005	1.027415e+000	1.037689e-010
3.463840002187499e-005	1.027415e+000	1.037689e-010
3.563840002187499e-005	1.027415e+000	1.037689e-010
3.663840002187498e-005	1.027415e+000	1.037689e-010
3.763840002187499e-005	1.027415e+000	1.037689e-010
3.963840002187499e-005	1.027415e+000	1.037689e-010
4.049554287901785e-005	1.027415e+000	1.037689e-010
4.135268573616071e-005	1.027415e+000	1.037689e-010
4.220982859330356e-005	1.027415e+000	1.037689e-010
4.306697145044642e-005	1.027415e+000	1.037689e-010
4.392411430758928e-005	1.027415e+000	1.037689e-010
4.478125716473213e-005	1.027415e+000	1.037689e-010
4.563840002187499e-005	1.027415e+000	1.037689e-010
4.763840002187499e-005	1.027415e+000	1.037689e-010
4.863840002187498e-005	1.027415e+000	1.037689e-010
5.063840002187499e-005	1.027415e+000	1.037689e-010
5.263840002187499e-005	1.027415e+000	1.037689e-010
5.349554287901784e-005	1.027415e+000	1.037689e-010
5.435268573616070e-005	1.027415e+000	1.037689e-010
5.520982859330356e-005	1.027415e+000	1.037689e-010
5.606697145044642e-005	1.027415e+000	1.037689e-010
5.692411430758927e-005	1.027415e+000	1.037689e-010
5.778125716473213e-005	1.027415e+000	1.037689e-010
